Transaction ID,Date,Month,Day,Year,Customer ID,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount,5% discounted price,,
23,4/12/2023,Apr,Wed,2023,CUST023,Female,35,Adult,Clothing,4,30,120,1.5,,
24,11/29/2023,Nov,Wed,2023,CUST024,Female,49,Adult,Clothing,1,300,300,15,,
25,12/26/2023,Dec,Tue,2023,CUST025,Female,64,Older Adults,Beauty,1,50,50,2.5,,
26,10/7/2023,Oct,Sat,2023,CUST026,Female,28,Adult,Electronics,2,500,1000,25,,
27,8/3/2023,Aug,Thu,2023,CUST027,Female,38,Adult,Beauty,2,25,50,1.25,,
28,4/23/2023,Apr,Sun,2023,CUST028,Female,43,Adult,Beauty,1,500,500,25,,
29,8/18/2023,Aug,Fri,2023,CUST029,Female,42,Adult,Electronics,1,30,30,1.5,,
30,10/29/2023,Oct,Sun,2023,CUST030,Female,39,Adult,Beauty,3,300,900,15,,
31,5/23/2023,May,Tue,2023,CUST031,Male,44,Adult,Electronics,4,300,1200,15,,
32,1/4/2023,Jan,Wed,2023,CUST032,Male,30,Adult,Beauty,3,30,90,1.5,,
33,3/23/2023,Mar,Thu,2023,CUST033,Female,50,Older Adults,Electronics,2,50,100,2.5,,
34,12/24/2023,Dec,Sun,2023,CUST034,Female,51,Older Adults,Clothing,3,50,150,2.5,,
35,8/5/2023,Aug,Sat,2023,CUST035,Female,58,Older Adults,Beauty,3,300,900,15,,
36,6/24/2023,Jun,Sat,2023,CUST036,Male,52,Older Adults,Beauty,3,300,900,15,,
37,5/23/2023,May,Tue,2023,CUST037,Female,18,Adolescents,Beauty,3,25,75,1.25,,
38,3/21/2023,Mar,Tue,2023,CUST038,Male,38,Adult,Beauty,4,50,200,2.5,,
39,4/21/2023,Apr,Fri,2023,CUST039,Male,23,Adolescents,Clothing,4,30,120,1.5,,
40,6/22/2023,Jun,Thu,2023,CUST040,Male,45,Adult,Beauty,1,50,50,2.5,,
41,2/22/2023,Feb,Wed,2023,CUST041,Male,34,Adult,Clothing,2,25,50,1.25,,
42,2/17/2023,Feb,Fri,2023,CUST042,Male,22,Adolescents,Clothing,3,300,900,15,,
43,7/14/2023,Jul,Fri,2023,CUST043,Female,48,Adult,Clothing,1,300,300,15,,
44,2/19/2023,Feb,Sun,2023,CUST044,Female,22,Adolescents,Clothing,1,25,25,1.25,,
45,7/3/2023,Jul,Mon,2023,CUST045,Female,55,Older Adults,Electronics,1,30,30,1.5,,
46,6/26/2023,Jun,Mon,2023,CUST046,Female,20,Adolescents,Electronics,4,300,1200,15,,
47,11/6/2023,Nov,Mon,2023,CUST047,Female,40,Adult,Beauty,3,500,1500,25,,
48,5/16/2023,May,Tue,2023,CUST048,Male,54,Older Adults,Electronics,3,300,900,15,,
49,1/23/2023,Jan,Mon,2023,CUST049,Female,54,Older Adults,Electronics,2,500,1000,25,,
50,8/24/2023,Aug,Thu,2023,CUST050,Female,27,Adult,Beauty,3,25,75,1.25,,
51,10/2/2023,Oct,Mon,2023,CUST051,Male,27,Adult,Beauty,3,25,75,1.25,,
52,3/5/2023,Mar,Sun,2023,CUST052,Female,36,Adult,Beauty,1,300,300,15,,
53,7/13/2023,Jul,Thu,2023,CUST053,Male,34,Adult,Electronics,2,50,100,2.5,,
54,2/10/2023,Feb,Fri,2023,CUST054,Female,38,Adult,Electronics,3,500,1500,25,,
55,10/10/2023,Oct,Tue,2023,CUST055,Male,31,Adult,Beauty,4,30,120,1.5,,
56,5/31/2023,May,Wed,2023,CUST056,Female,26,Adult,Clothing,3,300,900,15,,
57,11/18/2023,Nov,Sat,2023,CUST057,Female,63,Older Adults,Beauty,1,30,30,1.5,,
58,11/13/2023,Nov,Mon,2023,CUST058,Male,18,Adolescents,Clothing,4,300,1200,15,,
59,7/5/2023,Jul,Wed,2023,CUST059,Male,62,Older Adults,Clothing,1,50,50,2.5,,
60,10/23/2023,Oct,Mon,2023,CUST060,Male,30,Adult,Beauty,3,50,150,2.5,,
61,4/9/2023,Apr,Sun,2023,CUST061,Male,21,Adolescents,Beauty,4,50,200,2.5,,
62,12/27/2023,Dec,Wed,2023,CUST062,Male,18,Adolescents,Beauty,2,50,100,2.5,,
63,2/5/2023,Feb,Sun,2023,CUST063,Male,57,Older Adults,Electronics,2,25,50,1.25,,
64,1/24/2023,Jan,Tue,2023,CUST064,Male,49,Adult,Clothing,4,25,100,1.25,,
65,12/5/2023,Dec,Tue,2023,CUST065,Male,51,Older Adults,Electronics,4,500,2000,25,,
66,4/27/2023,Apr,Thu,2023,CUST066,Female,45,Adult,Electronics,1,30,30,1.5,,
67,5/29/2023,May,Mon,2023,CUST067,Female,48,Adult,Beauty,4,300,1200,15,,
68,2/10/2023,Feb,Fri,2023,CUST068,Male,25,Adolescents,Electronics,1,300,300,15,,
69,4/30/2023,Apr,Sun,2023,CUST069,Female,56,Older Adults,Beauty,3,25,75,1.25,,
70,2/21/2023,Feb,Tue,2023,CUST070,Female,43,Adult,Clothing,1,300,300,15,,
71,7/14/2023,Jul,Fri,2023,CUST071,Female,51,Older Adults,Beauty,4,25,100,1.25,,
72,5/23/2023,May,Tue,2023,CUST072,Female,20,Adolescents,Electronics,4,500,2000,25,,
73,8/21/2023,Aug,Mon,2023,CUST073,Male,29,Adult,Electronics,3,30,90,1.5,,
74,11/22/2023,Nov,Wed,2023,CUST074,Female,18,Adolescents,Beauty,4,500,2000,25,,
75,7/6/2023,Jul,Thu,2023,CUST075,Male,61,Older Adults,Beauty,4,50,200,2.5,,
76,3/25/2023,Mar,Sat,2023,CUST076,Female,22,Adolescents,Electronics,2,50,100,2.5,,
77,7/9/2023,Jul,Sun,2023,CUST077,Female,47,Adult,Clothing,2,50,100,2.5,,
78,7/1/2023,Jul,Sat,2023,CUST078,Female,47,Adult,Clothing,3,500,1500,25,,
79,4/18/2023,Apr,Tue,2023,CUST079,Male,34,Adult,Beauty,1,300,300,15,,
80,12/10/2023,Dec,Sun,2023,CUST080,Female,64,Older Adults,Clothing,2,30,60,1.5,,
81,5/17/2023,May,Wed,2023,CUST081,Male,40,Adult,Electronics,1,50,50,2.5,,
82,12/26/2023,Dec,Tue,2023,CUST082,Female,32,Adult,Beauty,4,50,200,2.5,,
83,12/16/2023,Dec,Sat,2023,CUST083,Male,54,Older Adults,Electronics,2,50,100,2.5,,
84,11/28/2023,Nov,Tue,2023,CUST084,Female,38,Adult,Electronics,3,30,90,1.5,,
85,2/6/2023,Feb,Mon,2023,CUST085,Male,31,Adult,Clothing,3,50,150,2.5,,
86,11/8/2023,Nov,Wed,2023,CUST086,Male,19,Adolescents,Beauty,3,30,90,1.5,,
87,11/22/2023,Nov,Wed,2023,CUST087,Female,28,Adult,Beauty,2,50,100,2.5,,
88,3/29/2023,Mar,Wed,2023,CUST088,Male,56,Older Adults,Clothing,1,500,500,25,,
89,10/1/2023,Oct,Sun,2023,CUST089,Female,55,Older Adults,Electronics,4,500,2000,25,,
90,5/6/2023,May,Sat,2023,CUST090,Female,51,Older Adults,Electronics,1,30,30,1.5,,
91,3/25/2023,Mar,Sat,2023,CUST091,Female,55,Older Adults,Electronics,1,500,500,25,,
92,8/25/2023,Aug,Fri,2023,CUST092,Female,51,Older Adults,Electronics,4,30,120,1.5,,
93,7/14/2023,Jul,Fri,2023,CUST093,Female,35,Adult,Beauty,4,500,2000,25,,
94,5/19/2023,May,Fri,2023,CUST094,Female,47,Adult,Beauty,2,500,1000,25,,
95,11/24/2023,Nov,Fri,2023,CUST095,Female,32,Adult,Clothing,2,30,60,1.5,,
96,12/19/2023,Dec,Tue,2023,CUST096,Female,44,Adult,Clothing,2,300,600,15,,
97,10/13/2023,Oct,Fri,2023,CUST097,Female,51,Older Adults,Beauty,2,500,1000,25,,
98,4/23/2023,Apr,Sun,2023,CUST098,Female,55,Older Adults,Beauty,2,50,100,2.5,,
99,12/17/2023,Dec,Sun,2023,CUST099,Female,50,Older Adults,Electronics,4,300,1200,15,,
100,6/16/2023,Jun,Fri,2023,CUST100,Male,41,Adult,Electronics,1,30,30,1.5,,
101,1/29/2023,Jan,Sun,2023,CUST101,Male,32,Adult,Clothing,2,300,600,15,,
102,4/28/2023,Apr,Fri,2023,CUST102,Female,47,Adult,Beauty,2,25,50,1.25,,
103,1/17/2023,Jan,Tue,2023,CUST103,Female,59,Older Adults,Clothing,1,25,25,1.25,,
104,6/11/2023,Jun,Sun,2023,CUST104,Female,34,Adult,Beauty,2,500,1000,25,,
105,7/25/2023,Jul,Tue,2023,CUST105,Female,22,Adolescents,Electronics,1,500,500,25,,
106,5/18/2023,May,Thu,2023,CUST106,Female,46,Adult,Clothing,1,50,50,2.5,,
107,2/3/2023,Feb,Fri,2023,CUST107,Female,21,Adolescents,Clothing,4,300,1200,15,,
108,4/19/2023,Apr,Wed,2023,CUST108,Female,27,Adult,Beauty,3,25,75,1.25,,
109,10/18/2023,Oct,Wed,2023,CUST109,Female,34,Adult,Electronics,4,500,2000,25,,
110,6/11/2023,Jun,Sun,2023,CUST110,Male,27,Adult,Clothing,3,300,900,15,,
111,4/19/2023,Apr,Wed,2023,CUST111,Female,34,Adult,Electronics,3,500,1500,25,,
112,12/2/2023,Dec,Sat,2023,CUST112,Male,37,Adult,Clothing,3,500,1500,25,,
113,9/13/2023,Sep,Wed,2023,CUST113,Female,41,Adult,Electronics,2,25,50,1.25,,
114,7/22/2023,Jul,Sat,2023,CUST114,Female,22,Adolescents,Beauty,4,25,100,1.25,,
115,11/26/2023,Nov,Sun,2023,CUST115,Male,51,Older Adults,Clothing,3,500,1500,25,,
116,8/23/2023,Aug,Wed,2023,CUST116,Female,23,Adolescents,Clothing,1,30,30,1.5,,
117,3/15/2023,Mar,Wed,2023,CUST117,Male,19,Adolescents,Electronics,2,500,1000,25,,
118,5/16/2023,May,Tue,2023,CUST118,Female,30,Adult,Electronics,4,500,2000,25,,
119,3/13/2023,Mar,Mon,2023,CUST119,Female,60,Older Adults,Clothing,3,50,150,2.5,,
120,5/7/2023,May,Sun,2023,CUST120,Male,60,Older Adults,Beauty,1,50,50,2.5,,
121,10/15/2023,Oct,Sun,2023,CUST121,Female,28,Adult,Electronics,4,50,200,2.5,,
122,10/3/2023,Oct,Tue,2023,CUST122,Male,64,Older Adults,Electronics,4,30,120,1.5,,
123,5/15/2023,May,Mon,2023,CUST123,Female,40,Adult,Electronics,2,30,60,1.5,,
124,10/27/2023,Oct,Fri,2023,CUST124,Male,33,Adult,Clothing,4,500,2000,25,,
125,8/8/2023,Aug,Tue,2023,CUST125,Male,48,Adult,Clothing,2,50,100,2.5,,
126,10/26/2023,Oct,Thu,2023,CUST126,Female,28,Adult,Clothing,3,30,90,1.5,,
127,7/24/2023,Jul,Mon,2023,CUST127,Female,33,Adult,Clothing,2,25,50,1.25,,
128,7/5/2023,Jul,Wed,2023,CUST128,Male,25,Adolescents,Beauty,1,500,500,25,,
129,4/23/2023,Apr,Sun,2023,CUST129,Female,21,Adolescents,Beauty,2,300,600,15,,
130,3/12/2023,Mar,Sun,2023,CUST130,Female,57,Older Adults,Clothing,1,500,500,25,,
131,9/18/2023,Sep,Mon,2023,CUST131,Female,21,Adolescents,Beauty,2,300,600,15,,
132,9/10/2023,Sep,Sun,2023,CUST132,Male,42,Adult,Electronics,4,50,200,2.5,,
133,2/16/2023,Feb,Thu,2023,CUST133,Male,20,Adolescents,Electronics,3,300,900,15,,
134,1/25/2023,Jan,Wed,2023,CUST134,Male,49,Adult,Electronics,1,50,50,2.5,,
135,2/26/2023,Feb,Sun,2023,CUST135,Male,20,Adolescents,Clothing,2,25,50,1.25,,
136,3/20/2023,Mar,Mon,2023,CUST136,Male,44,Adult,Electronics,2,300,600,15,,
137,11/18/2023,Nov,Sat,2023,CUST137,Male,46,Adult,Beauty,2,500,1000,25,,
138,3/23/2023,Mar,Thu,2023,CUST138,Male,49,Adult,Clothing,4,50,200,2.5,,
139,12/15/2023,Dec,Fri,2023,CUST139,Male,36,Adult,Beauty,4,500,2000,25,,
140,8/5/2023,Aug,Sat,2023,CUST140,Male,38,Adult,Electronics,1,30,30,1.5,,
141,11/2/2023,Nov,Thu,2023,CUST141,Female,22,Adolescents,Electronics,1,50,50,2.5,,
142,2/2/2023,Feb,Thu,2023,CUST142,Male,35,Adult,Electronics,4,300,1200,15,,
143,7/17/2023,Jul,Mon,2023,CUST143,Female,45,Adult,Clothing,1,50,50,2.5,,
144,7/15/2023,Jul,Sat,2023,CUST144,Female,59,Older Adults,Beauty,3,500,1500,25,,
145,11/2/2023,Nov,Thu,2023,CUST145,Female,39,Adult,Clothing,3,25,75,1.25,,
146,8/28/2023,Aug,Mon,2023,CUST146,Male,38,Adult,Clothing,4,50,200,2.5,,
147,9/28/2023,Sep,Thu,2023,CUST147,Male,23,Adolescents,Electronics,1,300,300,15,,
148,5/9/2023,May,Tue,2023,CUST148,Male,18,Adolescents,Clothing,2,30,60,1.5,,
149,10/11/2023,Oct,Wed,2023,CUST149,Male,22,Adolescents,Clothing,3,25,75,1.25,,
150,1/6/2023,Jan,Fri,2023,CUST150,Female,58,Older Adults,Electronics,4,30,120,1.5,,
151,12/15/2023,Dec,Fri,2023,CUST151,Male,29,Adult,Clothing,1,50,50,2.5,,
152,2/28/2023,Feb,Tue,2023,CUST152,Male,43,Adult,Electronics,4,500,2000,25,,
153,12/16/2023,Dec,Sat,2023,CUST153,Male,63,Older Adults,Electronics,2,500,1000,25,,
154,10/2/2023,Oct,Mon,2023,CUST154,Male,51,Older Adults,Electronics,3,300,900,15,,
155,5/17/2023,May,Wed,2023,CUST155,Male,31,Adult,Electronics,4,500,2000,25,,
156,11/25/2023,Nov,Sat,2023,CUST156,Female,43,Adult,Clothing,4,25,100,1.25,,
157,6/24/2023,Jun,Sat,2023,CUST157,Male,62,Older Adults,Electronics,4,500,2000,25,,
158,2/27/2023,Feb,Mon,2023,CUST158,Female,44,Adult,Electronics,2,300,600,15,,
159,5/31/2023,May,Wed,2023,CUST159,Male,26,Adult,Clothing,4,50,200,2.5,,
160,8/11/2023,Aug,Fri,2023,CUST160,Female,43,Adult,Clothing,2,50,100,2.5,,
161,3/22/2023,Mar,Wed,2023,CUST161,Male,64,Older Adults,Beauty,2,500,1000,25,,
162,8/21/2023,Aug,Mon,2023,CUST162,Male,39,Adult,Clothing,2,30,60,1.5,,
163,1/2/2023,Jan,Mon,2023,CUST163,Female,64,Older Adults,Clothing,3,50,150,2.5,,
164,5/15/2023,May,Mon,2023,CUST164,Female,47,Adult,Beauty,3,500,1500,25,,
165,9/14/2023,Sep,Thu,2023,CUST165,Female,60,Older Adults,Clothing,4,300,1200,15,,
166,4/2/2023,Apr,Sun,2023,CUST166,Male,34,Adult,Clothing,4,500,2000,25,,
167,9/17/2023,Sep,Sun,2023,CUST167,Female,43,Adult,Clothing,3,50,150,2.5,,
168,2/24/2023,Feb,Fri,2023,CUST168,Male,53,Older Adults,Clothing,1,300,300,15,,
169,11/17/2023,Nov,Fri,2023,CUST169,Male,18,Adolescents,Beauty,3,500,1500,25,,
170,6/2/2023,Jun,Fri,2023,CUST170,Female,25,Adolescents,Clothing,2,25,50,1.25,,
171,11/24/2023,Nov,Fri,2023,CUST171,Female,52,Older Adults,Clothing,3,300,900,15,,
172,9/17/2023,Sep,Sun,2023,CUST172,Male,32,Adult,Beauty,2,25,50,1.25,,
173,11/8/2023,Nov,Wed,2023,CUST173,Male,64,Older Adults,Electronics,4,30,120,1.5,,
174,4/12/2023,Apr,Wed,2023,CUST174,Female,39,Adult,Beauty,1,300,300,15,,
175,3/20/2023,Mar,Mon,2023,CUST175,Female,31,Adult,Electronics,4,25,100,1.25,,
176,7/11/2023,Jul,Tue,2023,CUST176,Female,43,Adult,Beauty,2,50,100,2.5,,
177,3/24/2023,Mar,Fri,2023,CUST177,Male,45,Adult,Beauty,2,50,100,2.5,,
178,10/4/2023,Oct,Wed,2023,CUST178,Male,40,Adult,Clothing,2,30,60,1.5,,
179,9/29/2023,Sep,Fri,2023,CUST179,Male,31,Adult,Electronics,1,300,300,15,,
180,1/1/2023,Jan,Sun,2023,CUST180,Male,41,Adult,Clothing,3,300,900,15,,
181,11/3/2023,Nov,Fri,2023,CUST181,Male,19,Adolescents,Electronics,4,300,1200,15,,
182,6/15/2023,Jun,Thu,2023,CUST182,Male,62,Older Adults,Beauty,4,30,120,1.5,,
183,9/8/2023,Sep,Fri,2023,CUST183,Female,43,Adult,Beauty,3,300,900,15,,
184,1/10/2023,Jan,Tue,2023,CUST184,Male,31,Adult,Electronics,4,50,200,2.5,,
185,2/27/2023,Feb,Mon,2023,CUST185,Male,24,Adolescents,Clothing,1,25,25,1.25,,
186,7/5/2023,Jul,Wed,2023,CUST186,Male,20,Adolescents,Clothing,4,50,200,2.5,,
187,6/7/2023,Jun,Wed,2023,CUST187,Female,64,Older Adults,Clothing,2,50,100,2.5,,
188,5/3/2023,May,Wed,2023,CUST188,Male,40,Adult,Clothing,3,25,75,1.25,,
189,1/30/2023,Jan,Mon,2023,CUST189,Male,63,Older Adults,Beauty,1,50,50,2.5,,
190,5/4/2023,May,Thu,2023,CUST190,Female,60,Older Adults,Beauty,3,30,90,1.5,,
191,10/18/2023,Oct,Wed,2023,CUST191,Male,64,Older Adults,Beauty,1,25,25,1.25,,
192,2/10/2023,Feb,Fri,2023,CUST192,Male,62,Older Adults,Beauty,2,50,100,2.5,,
193,2/13/2023,Feb,Mon,2023,CUST193,Male,35,Adult,Beauty,3,500,1500,25,,
194,9/6/2023,Sep,Wed,2023,CUST194,Male,55,Older Adults,Clothing,4,50,200,2.5,,
195,2/5/2023,Feb,Sun,2023,CUST195,Male,52,Older Adults,Clothing,1,30,30,1.5,,
196,9/30/2023,Sep,Sat,2023,CUST196,Female,32,Adult,Clothing,3,300,900,15,,
197,3/6/2023,Mar,Mon,2023,CUST197,Female,42,Adult,Clothing,4,50,200,2.5,,
198,3/7/2023,Mar,Tue,2023,CUST198,Female,54,Older Adults,Beauty,3,300,900,15,,
199,12/4/2023,Dec,Mon,2023,CUST199,Male,45,Adult,Beauty,3,500,1500,25,,
200,9/1/2023,Sep,Fri,2023,CUST200,Male,27,Adult,Beauty,3,50,150,2.5,,
201,10/9/2023,Oct,Mon,2023,CUST201,Male,56,Older Adults,Electronics,1,25,25,1.25,,
202,3/26/2023,Mar,Sun,2023,CUST202,Female,34,Adult,Clothing,4,300,1200,15,,
203,5/16/2023,May,Tue,2023,CUST203,Male,56,Older Adults,Clothing,2,500,1000,25,,
204,9/28/2023,Sep,Thu,2023,CUST204,Male,39,Adult,Beauty,1,25,25,1.25,,
205,11/7/2023,Nov,Tue,2023,CUST205,Female,43,Adult,Clothing,1,25,25,1.25,,
206,8/5/2023,Aug,Sat,2023,CUST206,Male,61,Older Adults,Clothing,1,25,25,1.25,,
207,4/19/2023,Apr,Wed,2023,CUST207,Female,42,Adult,Beauty,2,25,50,1.25,,
208,10/4/2023,Oct,Wed,2023,CUST208,Female,34,Adult,Electronics,4,50,200,2.5,,
209,12/20/2023,Dec,Wed,2023,CUST209,Female,30,Adult,Electronics,4,50,200,2.5,,
210,4/13/2023,Apr,Thu,2023,CUST210,Male,37,Adult,Electronics,4,50,200,2.5,,
211,1/1/2024,Jan,Mon,2024,CUST211,Male,42,Adult,Beauty,3,500,1500,25,,
212,6/9/2023,Jun,Fri,2023,CUST212,Male,21,Adolescents,Clothing,3,500,1500,25,,
213,7/24/2023,Jul,Mon,2023,CUST213,Male,27,Adult,Beauty,3,500,1500,25,,
214,12/10/2023,Dec,Sun,2023,CUST214,Male,20,Adolescents,Beauty,2,30,60,1.5,,
215,11/29/2023,Nov,Wed,2023,CUST215,Male,58,Older Adults,Clothing,3,500,1500,25,,
216,7/11/2023,Jul,Tue,2023,CUST216,Male,62,Older Adults,Electronics,2,50,100,2.5,,
217,8/13/2023,Aug,Sun,2023,CUST217,Female,35,Adult,Electronics,4,50,200,2.5,,
218,9/22/2023,Sep,Fri,2023,CUST218,Male,64,Older Adults,Beauty,3,30,90,1.5,,
219,8/20/2023,Aug,Sun,2023,CUST219,Female,53,Older Adults,Electronics,3,30,90,1.5,,
220,3/3/2023,Mar,Fri,2023,CUST220,Male,64,Older Adults,Beauty,1,500,500,25,,
221,5/7/2023,May,Sun,2023,CUST221,Male,39,Adult,Beauty,2,300,600,15,,
222,4/26/2023,Apr,Wed,2023,CUST222,Male,51,Older Adults,Clothing,4,30,120,1.5,,
223,2/2/2023,Feb,Thu,2023,CUST223,Female,64,Older Adults,Clothing,1,25,25,1.25,,
224,6/23/2023,Jun,Fri,2023,CUST224,Female,25,Adolescents,Clothing,1,50,50,2.5,,
225,1/11/2023,Jan,Wed,2023,CUST225,Female,57,Older Adults,Beauty,4,25,100,1.25,,
226,10/29/2023,Oct,Sun,2023,CUST226,Female,61,Older Adults,Clothing,1,50,50,2.5,,
227,10/11/2023,Oct,Wed,2023,CUST227,Male,36,Adult,Electronics,2,50,100,2.5,,
228,4/28/2023,Apr,Fri,2023,CUST228,Female,59,Older Adults,Electronics,2,30,60,1.5,,
229,10/29/2023,Oct,Sun,2023,CUST229,Male,58,Older Adults,Beauty,3,30,90,1.5,,
230,4/23/2023,Apr,Sun,2023,CUST230,Male,54,Older Adults,Beauty,1,25,25,1.25,,
231,1/4/2023,Jan,Wed,2023,CUST231,Female,23,Adolescents,Clothing,3,50,150,2.5,,
232,2/6/2023,Feb,Mon,2023,CUST232,Female,43,Adult,Beauty,1,25,25,1.25,,
233,12/29/2023,Dec,Fri,2023,CUST233,Female,51,Older Adults,Beauty,2,300,600,15,,
234,11/20/2023,Nov,Mon,2023,CUST234,Female,62,Older Adults,Electronics,2,25,50,1.25,,
235,1/31/2023,Jan,Tue,2023,CUST235,Female,23,Adolescents,Electronics,2,500,1000,25,,
236,4/28/2023,Apr,Fri,2023,CUST236,Female,54,Older Adults,Clothing,1,25,25,1.25,,
237,2/4/2023,Feb,Sat,2023,CUST237,Female,50,Older Adults,Beauty,2,500,1000,25,,
238,1/17/2023,Jan,Tue,2023,CUST238,Female,39,Adult,Beauty,1,500,500,25,,
239,6/19/2023,Jun,Mon,2023,CUST239,Male,38,Adult,Electronics,3,500,1500,25,,
240,2/6/2023,Feb,Mon,2023,CUST240,Female,23,Adolescents,Beauty,1,300,300,15,,
241,9/21/2023,Sep,Thu,2023,CUST241,Female,23,Adolescents,Electronics,3,25,75,1.25,,
242,5/2/2023,May,Tue,2023,CUST242,Male,21,Adolescents,Clothing,1,25,25,1.25,,
243,5/23/2023,May,Tue,2023,CUST243,Female,47,Adult,Electronics,3,300,900,15,,
244,12/9/2023,Dec,Sat,2023,CUST244,Male,28,Adult,Beauty,2,50,100,2.5,,
245,9/6/2023,Sep,Wed,2023,CUST245,Male,47,Adult,Clothing,3,30,90,1.5,,
246,4/20/2023,Apr,Thu,2023,CUST246,Female,48,Adult,Electronics,2,25,50,1.25,,
247,10/4/2023,Oct,Wed,2023,CUST247,Male,41,Adult,Electronics,2,30,60,1.5,,
248,3/9/2023,Mar,Thu,2023,CUST248,Male,26,Adult,Clothing,3,300,900,15,,
249,10/20/2023,Oct,Fri,2023,CUST249,Male,20,Adolescents,Clothing,1,50,50,2.5,,
250,10/23/2023,Oct,Mon,2023,CUST250,Male,48,Adult,Electronics,1,50,50,2.5,,
251,8/31/2023,Aug,Thu,2023,CUST251,Female,57,Older Adults,Beauty,4,50,200,2.5,,
252,5/5/2023,May,Fri,2023,CUST252,Male,54,Older Adults,Electronics,1,300,300,15,,
253,8/31/2023,Aug,Thu,2023,CUST253,Female,53,Older Adults,Clothing,4,500,2000,25,,
254,7/28/2023,Jul,Fri,2023,CUST254,Male,41,Adult,Electronics,1,500,500,25,,
255,4/8/2023,Apr,Sat,2023,CUST255,Male,48,Adult,Clothing,1,30,30,1.5,,
256,2/18/2023,Feb,Sat,2023,CUST256,Male,23,Adolescents,Clothing,2,500,1000,25,,
257,2/19/2023,Feb,Sun,2023,CUST257,Male,19,Adolescents,Beauty,4,500,2000,25,,
258,12/4/2023,Dec,Mon,2023,CUST258,Female,37,Adult,Clothing,1,50,50,2.5,,
259,8/9/2023,Aug,Wed,2023,CUST259,Female,45,Adult,Clothing,4,50,200,2.5,,
260,7/1/2023,Jul,Sat,2023,CUST260,Male,28,Adult,Beauty,2,30,60,1.5,,
261,8/5/2023,Aug,Sat,2023,CUST261,Male,21,Adolescents,Clothing,2,25,50,1.25,,
262,7/30/2023,Jul,Sun,2023,CUST262,Female,32,Adult,Beauty,4,30,120,1.5,,
263,8/28/2023,Aug,Mon,2023,CUST263,Male,23,Adolescents,Beauty,2,30,60,1.5,,
264,1/28/2023,Jan,Sat,2023,CUST264,Male,47,Adult,Clothing,3,300,900,15,,
265,12/11/2023,Dec,Mon,2023,CUST265,Male,55,Older Adults,Clothing,3,300,900,15,,
266,12/1/2023,Dec,Fri,2023,CUST266,Female,19,Adolescents,Electronics,2,30,60,1.5,,
267,11/27/2023,Nov,Mon,2023,CUST267,Female,32,Adult,Beauty,3,30,90,1.5,,
268,2/20/2023,Feb,Mon,2023,CUST268,Female,28,Adult,Electronics,1,30,30,1.5,,
269,2/1/2023,Feb,Wed,2023,CUST269,Male,25,Adolescents,Clothing,4,500,2000,25,,
270,7/26/2023,Jul,Wed,2023,CUST270,Male,43,Adult,Electronics,1,300,300,15,,
